Pair-timeperiod,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_trades
USD/EUR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,32.04633205,12238.35719,12247.29977,9.66307573,22.38357191,5.586572478,21.71727734,8.957650586,14.96483133,2.42443899,5.544422908,5.993151755,20.58250382,0.322392325,-3.623682201,-0.95269476,52 days 00:00:00,11 days 00:00:00,1,100,6.632366404,6.632366404,6.632366404,118 days 00:00:00,118 days 00:00:00,,6.632366404,,,"   Size  EntryBar  ExitBar  ...  Exit_SMA(C,12)  Entry_SMA(C,38) Exit_SMA(C,38)
0 -9106        71      153  ...        1.038701         1.109488       1.038623

[1 rows x 17 columns]"
USD/EUR-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,57.8125,11223.316,11231.51667,21.15262461,12.23316005,13.63840248,25.50935422,10.85254308,17.43513667,2.350541622,5.762888446,5.574530194,2.63303094,0.703904223,-4.576054544,-1.103294103,65 days 00:00:00,12 days 00:00:00,2,50,7.705046097,-0.366211416,3.590838361,92 days 00:00:00,53 days 00:00:00,21.03988505,3.669417341,0.902690718,0.474428508,"   Size  EntryBar  ExitBar  ...  Exit_SMA(C,8)  Entry_SMA(C,30) Exit_SMA(C,30)
0  9617        30       94  ...       1.121982         1.035102       1.123788
1 -9608        94      103  ...       1.130831         1.123788       1.130216

[2 rows x 17 columns]"
USD/EUR-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,74.30555556,9814.211658,10005.51308,79.34330517,-1.857883421,0.518259483,-49.09093532,2.482496563,-51.38716991,-19.77482509,-7.386759945,-25.21900002,-1.949060996,0.175930356,-1.946585324,-1.021668448,5 days 13:45:00,2 days 19:23:00,8,12.5,0.164738076,-0.354270417,-0.136809912,2 days 05:30:00,0 days 16:12:00,0.130917722,-0.136699352,-2.439683159,-0.833645426,"   Size  EntryBar  ExitBar  ...  Exit_SMA(C,19)  Entry_SMA(C,59) Exit_SMA(C,59)
0 -8544        90      132  ...        1.170471         1.171652       1.170462
1  8496       132      177  ...        1.171590         1.170462       1.171610
2 -8487       177      193  ...        1.172088         1.171610       1.172029
3  8461       193      238  ...        1.172724         1.172029       1.172806
4 -8452       238      251  ...        1.172949         1.172806       1.172902
5  8404       251      351  ...        1.179445         1.172902       1.179631
6 -8396       351      376  ...        1.179810         1.179631       1.179804
7  8328       376      410  ...        1.179714         1.179804       1.179767

[8 rows x 17 columns]"
USD/JPY-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,87.25868726,11693.86999,11935.80182,290.1957651,16.9386999,-11.13441165,16.44518934,11.75990429,11.40870556,1.398411835,2.581360329,2.647288362,17.02329868,0.007597957,-6.212088407,-1.591839687,69 days 00:00:00,19 days 00:00:00,27,55.55555556,6.592559853,-2.268913147,0.660331241,47 days 00:00:00,12 days 00:00:00,3.236561396,0.676788364,1.944434288,0.385032551,"    Size  EntryBar  ExitBar  ...  Exit_SMA(C,4)  Entry_SMA(C,8) Exit_SMA(C,8)
0     68        30       37  ...     146.279999      146.640499    146.943499
1    -67        37       45  ...     145.606499      146.943499    145.139875
2     66        45       48  ...     144.698002      145.139875    144.808876
3    -66        48       58  ...     142.093250      144.808876    141.935747
4     66        58       90  ...     152.436749      141.935747    152.616875
5    -66        90       93  ...     152.802750      152.616875    152.744499
6     65        93      102  ...     154.823502      152.744499    154.915751
7    -65       102      115  ...     150.553001      154.915751    150.304874
8     69       115      133  ...     157.389248      150.304874    157.427248
9    -68       133      134  ...     157.576248      157.427248    157.506748
10    68       134      140  ...     157.837250      157.506748    157.875124
11   -68       140      148  ...     156.028252      157.875124    155.909876
12    70       148      150  ...     155.591751      155.909876    155.767000
13   -70       150      162  ...     152.935501      155.767000    152.689999
14    72       162      165  ...     152.096748      152.689999    152.373249
15   -72       165      174  ...     149.731495      152.373249    149.582872
16    75       174      177  ...     149.027496      149.582872    149.351122
17   -75       177      183  ...     148.217007      149.351122    148.068878
18    74       183      195  ...     150.040001      148.068878    150.129251
19   -74       195      211  ...     143.157753      150.129251    142.729626
20    80       211      227  ...     145.634003      142.729626    146.275126
21   -80       227      235  ...     144.077003      146.275126    143.889503
22    81       235      238  ...     143.470753      143.889503    143.659878
23   -81       238      242  ...     143.876247      143.659878    143.673500
24    80       242      247  ...     144.054253      143.673500    144.228500
25   -80       247      249  ...     144.787754      144.228500    144.490751
26    80       249      255  ...     145.120750      144.490751    145.282001

[27 rows x 17 columns]"
USD/JPY-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,90.625,10783.14368,11005.5999,165.9150001,7.831436805,-9.061539059,16.00253783,12.34869889,11.07102175,1.295888577,2.446009353,5.042608434,5.49528843,-0.257809226,-3.173464297,-1.758934756,50 days 00:00:00,19 days 00:00:00,16,56.25,3.967073135,-0.8017086,0.531894449,26 days 00:00:00,11 days 00:00:00,4.114599628,0.538793757,1.751591511,0.422939775,"    Size  EntryBar  ExitBar  ...  Exit_SMA(C,4)  Entry_SMA(C,8) Exit_SMA(C,8)
0    -63         9       17  ...     156.028252      157.875124    155.909876
1     65        17       19  ...     155.591751      155.909876    155.767000
2    -64        19       31  ...     152.935501      155.767000    152.689999
3     67        31       34  ...     152.096748      152.689999    152.373249
4    -67        34       43  ...     149.731495      152.373249    149.582872
5     69        43       46  ...     149.027496      149.582872    149.351122
6    -69        46       52  ...     148.217007      149.351122    148.068878
7     68        52       64  ...     150.040001      148.068878    150.129251
8    -68        64       80  ...     143.157753      150.129251    142.729626
9     74        80       96  ...     145.634003      142.729626    146.275126
10   -74        96      104  ...     144.077003      146.275126    143.889503
11    75       104      107  ...     143.470753      143.889503    143.659878
12   -75       107      111  ...     143.876247      143.659878    143.673500
13    74       111      116  ...     144.054253      143.673500    144.228500
14   -74       116      118  ...     144.787754      144.228500    144.490751
15    74       118      124  ...     145.120750      144.490751    145.282001

[16 rows x 17 columns]"
USD/JPY-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,77.7262181,9961.710834,10056.12369,98.71373355,-0.382891663,-0.508629831,-12.8993261,4.687008617,-13.71779462,-2.752144738,-3.270834129,-12.79493293,-0.300927375,0.161147229,-1.008158946,-0.311754085,4 days 16:00:00,0 days 20:13:00,10,50,0.655556806,-0.18691181,0.072224369,2 days 12:30:00,0 days 13:20:00,2.449429811,0.072509286,0.904885648,0.294328596,"   Size  EntryBar  ExitBar  ...  Exit_SMA(C,9)  Entry_SMA(C,32) Exit_SMA(C,32)
0    69        54       74  ...     144.227556       144.255470     144.265844
1   -69        74       84  ...     144.289554       144.265844     144.279938
2    68        84      111  ...     144.451333       144.279938     144.456938
3   -68       111      137  ...     144.404556       144.456938     144.396470
4    68       137      183  ...     144.693556       144.396470     144.704343
5   -68       183      226  ...     144.099889       144.704343     144.072406
6    69       226      255  ...     144.284778       144.072406     144.292062
7   -68       255      341  ...     143.099219       144.292062     143.089780
8    69       341      371  ...     143.525111       143.089780     143.574468
9   -69       371      388  ...     143.529780       143.574468     143.528750

[10 rows x 17 columns]"
USD/GBP-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,45.94594595,11855.91776,11921.35716,19.79112777,18.55917757,6.128465333,18.0149237,8.40619079,12.47232093,2.143054346,4.075898451,6.666637202,16.8310358,0.281986057,-2.702250498,-0.943172413,50 days 00:00:00,11 days 00:00:00,2,100,6.131231849,0.804028512,3.433339506,118 days 00:00:00,84 days 00:00:00,,3.46763018,1.299447841,,"   Size  EntryBar  ExitBar  ...  Exit_SMA(C,7)  Entry_SMA(C,32) Exit_SMA(C,32)
0  7694        35       71  ...       1.319305         1.285733       1.320398
1 -7686        71      153  ...       1.241239         1.320398       1.240789

[2 rows x 17 columns]"
USD/GBP-6mo,2025-01-02 00:00:00+00:00,2025-07-01 23:00:00+00:00,180 days 23:00:00,0,11041.81501,11102.76214,10.41815007,10.19771798,21.54467003,8.772582365,14.79885106,2.455909689,4.826287715,7.972695905,3.034941234,0.724005984,-2.702306759,-0.784498835,27 days 00:00:00,8 days 00:00:00,0,,,,,,,,,,,SMACrossover1,
USD/GBP-5d,2025-06-25 23:00:00+00:00,2025-07-02 12:15:00+00:00,6 days 13:15:00,73.37962963,9948.280099,10024.95086,79.75356866,-0.51719901,-0.364598501,-17.02864854,3.657566152,-18.08076419,-4.655732208,-4.446512127,-13.05779629,-0.560017581,-0.117440337,-1.304098192,-0.288020301,4 days 17:45:00,0 days 22:13:00,8,37.5,0.202965692,-0.195164709,-0.023933099,2 days 12:15:00,0 days 16:04:00,0.634092474,-0.023856824,-0.507920079,-0.214767256,"   Size  EntryBar  ExitBar  ...  Exit_SMA(C,17)  Entry_SMA(C,53) Exit_SMA(C,53)
0 -7281        92      123  ...        1.373605         1.373637       1.373565
1  7273       123      151  ...        1.373583         1.373565       1.373589
2 -7266       151      194  ...        1.371758         1.373589       1.371686
3  7288       194      227  ...        1.371561         1.371686       1.371725
4 -7281       227      262  ...        1.370803         1.371725       1.370680
5  7259       262      344  ...        1.374738         1.370680       1.374971
6 -7252       344      375  ...        1.374293         1.374971       1.374261
7  7216       375      408  ...        1.374228         1.374261       1.374307

[8 rows x 17 columns]"
USD/INR-1y,2024-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,365 days 00:00:00,69.11196911,10475.08404,10600.81743,71.66166245,4.750840419,2.018119926,4.619518832,3.934450575,3.256397745,1.174120438,1.78484993,2.191223606,4.956015967,-0.101666677,-2.108191432,-0.566998728,72 days 00:00:00,15 days 00:00:00,7,57.14285714,3.927603453,-0.432657811,0.736950393,145 days 00:00:00,37 days 00:00:00,8.263012168,0.746183939,1.346730614,0.501852658,"   Size  EntryBar  ExitBar  ...  Exit_SMA(C,19)  Entry_SMA(C,31) Exit_SMA(C,31)
0  -119        57       78  ...       83.888105        83.910233      83.873013
1   118        78      179  ...       86.967169        83.873013      86.970358
2  -118       179      182  ...       87.040858        86.970358      87.027429
3   119       182      184  ...       87.046827        87.027429      87.048539
4  -119       184      186  ...       87.025206        87.048539      87.011110
5   120       186      191  ...       86.748947        87.011110      86.778987
6  -120       191      235  ...       85.301532        86.778987      85.248226

[7 rows x 17 columns]"
